date,Open,High,Low,Close,Volume,Price_Up
2015-01-02,148579998.0,1488333321.0,1421733284.0,1462066746.0,71466000.0,0
2015-01-05,1430333328.0,144333334.0,1381066704.0,1400599957.0,80527500.0,0
2015-01-06,1400399971.0,1427999973.0,1361400032.0,1408533287.0,93928500.0,1
2015-01-07,1422333336.0,1431866741.0,1398533344.0,1406333256.0,44526000.0,0
2015-01-08,1418733311.0,1425333309.0,1400066662.0,140413332.0,51637500.0,0
2015-01-09,1392800045.0,1399866676.0,1366399956.0,1377733326.0,70024500.0,1
2015-01-12,1353666687.0,1363133335.0,1328333282.0,1348066711.0,89254500.0,0
2015-01-13,1355466747.0,1384066677.0,1339400005.0,1361666679.0,67159500.0,1
2015-01-14,1238866711.0,1301333332.0,1233333302.0,1284599972.0,173278500.0,0
2015-01-15,129659996.0,1305000019.0,1266666698.0,127913332.0,78247500.0,0
2015-01-16,1271333313.0,129659996.0,1264333344.0,1287133312.0,54048000.0,1
2015-01-20,1292466736.0,1294133282.0,124693327.0,1279533291.0,67548000.0,0
2015-01-21,1263666725.0,1324533272.0,1263399982.0,1310466671.0,62295000.0,1
2015-01-22,1313333321.0,1354933262.0,1301333332.0,1344133282.0,61753500.0,1
2015-01-23,1335266685.0,135666666.0,1322200012.0,1341933346.0,51579000.0,0
2015-01-26,1345533276.0,1390799999.0,1340333271.0,1377000046.0,48517500.0,1
2015-01-27,1362800026.0,1386866665.0,1355333328.0,1373200035.0,41715000.0,0
2015-01-28,1374066734.0,1375800037.0,1322799969.0,132913332.0,47244000.0,0
2015-01-29,134046669.0,1373200035.0,1310000038.0,1368000031.0,53221500.0,1
2015-01-30,1359733295.0,1383133316.0,1353333282.0,1357333279.0,45105000.0,0
2015-02-02,1359799957.0,1413000011.0,1355333328.0,1406266689.0,62238000.0,1
2015-02-03,1421466732.0,1469133282.0,1408466721.0,1455733299.0,72393000.0,1
2015-02-04,1455266666.0,1476533318.0,144533329.0,1456999969.0,49581000.0,1
2015-02-05,1465866661.0,1503199959.0,1464266682.0,1473266697.0,52843500.0,1
2015-02-06,1480000019.0,1489333344.0,144333334.0,1449066734.0,48658500.0,0
2015-02-09,1435866737.0,1452866745.0,1413266659.0,1449866676.0,52086000.0,1
2015-02-10,1450333309.0,1469999981.0,1433333302.0,1441933346.0,80857500.0,0
2015-02-11,1414733315.0,1431599998.0,1381866741.0,1418666744.0,146536500.0,0
2015-02-12,129046669.0,1353933334.0,1288533306.0,135253334.0,234744000.0,0
2015-02-13,1352666664.0,1373266697.0,1339400005.0,1358466721.0,92865000.0,1
2015-02-17,1371333313.0,1371333313.0,134333334.0,1362333298.0,59694000.0,1
2015-02-18,1361133289.0,1374466705.0,1350666714.0,1363066673.0,40704000.0,1
2015-02-19,1366666698.0,1416266727.0,1358333302.0,1411400032.0,77311500.0,1
2015-02-20,1405200005.0,1450666714.0,139873333.0,1447399998.0,89731500.0,1
2015-02-23,1437733269.0,145466671.0,1375533295.0,1382266712.0,127497000.0,0
2015-02-24,1381933308.0,1381933308.0,1344666672.0,1360733318.0,99054000.0,0
2015-02-25,1366266727.0,1380933285.0,1350533295.0,1358399963.0,58642500.0,0
2015-02-26,1360000038.0,1407266712.0,1348133278.0,1381266689.0,97093500.0,1
2015-02-27,1379333305.0,1390333271.0,1352000046.0,1355599976.0,58231500.0,0
2015-03-02,1351333332.0,1355599976.0,1305533314.0,1315533257.0,118831500.0,0
2015-03-03,1312066746.0,1334933281.0,1302133274.0,133039999.0,66484500.0,0
2015-03-04,1328333282.0,1350133324.0,1314733315.0,1349600029.0,63330000.0,1
2015-03-05,135233326.0,1374600029.0,1334333324.0,1337533283.0,73155000.0,0
2015-03-06,132806673.0,1338333321.0,1281000042.0,1292533302.0,100686000.0,0
2015-03-09,1295933342.0,129659996.0,1255000019.0,1272533321.0,101050500.0,0
2015-03-10,1256400013.0,1289999962.0,1250666714.0,1268799973.0,83695500.0,0
2015-03-11,1274333286.0,1307866669.0,1273400021.0,1291600037.0,74623500.0,1
2015-03-12,1291666698.0,1296333313.0,1264999962.0,1273799992.0,62239500.0,0
2015-03-13,1259666729.0,1278333282.0,1248799992.0,1257866669.0,81514500.0,0
2015-03-16,1280000019.0,1306066704.0,1265333271.0,130466671.0,84432000.0,0
2015-03-17,1302866745.0,1324733257.0,1292933273.0,1298200035.0,73411500.0,1
2015-03-18,1299733257.0,133920002.0,128739996.0,1338066673.0,72313500.0,1
2015-03-19,1346666718.0,1363933277.0,1296866703.0,1304333305.0,127128000.0,0
2015-03-20,1316333294.0,1326599979.0,130413332.0,1320533276.0,64042500.0,1
2015-03-23,1323333263.0,1336666679.0,1316466713.0,1330866718.0,39474000.0,1
2015-03-24,134386673.0,1358600044.0,133166666.0,1344799995.0,54748500.0,1
2015-03-25,1321800041.0,1323933315.0,1284666729.0,129533329.0,85956000.0,0
2015-03-26,1292800045.0,1298600006.0,1264666653.0,1269400024.0,61920000.0,1
2015-03-27,1260466671.0,1261933327.0,1209333324.0,1233333302.0,129073500.0,0
2015-03-30,1239000034.0,128166666.0,1211999989.0,1270466709.0,151342500.0,1
2015-03-31,1290200043.0,1291733265.0,1256066704.0,1258466721.0,75399000.0,0
2015-04-01,1257999992.0,1281999969.0,1240333271.0,1250599957.0,56919000.0,0
2015-04-02,1268200016.0,1288199997.0,1266666698.0,1273333263.0,75156000.0,1
2015-04-06,1319999981.0,1385000038.0,1316666698.0,1353999996.0,186837000.0,1
2015-04-07,1350066662.0,1367066669.0,1340933323.0,1355000019.0,65218500.0,1
2015-04-08,1388000011.0,1406000042.0,137246666.0,1384466743.0,94546500.0,1
2015-04-09,1389533329.0,1402466679.0,1374133301.0,1400599957.0,57003000.0,1
2015-04-10,1398999977.0,1410999966.0,139333334.0,1406000042.0,61015500.0,1
2015-04-13,1402933311.0,1419999981.0,1393666744.0,1398533344.0,56373000.0,0
2015-04-14,139046669.0,139659996.0,1369999981.0,1383066654.0,45390000.0,0
2015-04-15,1383066654.0,1397266674.0,137733326.0,1385533333.0,29286000.0,1
2015-04-16,1384666729.0,1394466686.0,1375266743.0,1377999973.0,24886500.0,0
2015-04-17,1366600037.0,1379199982.0,135666666.0,1378600025.0,37048500.0,1
2015-04-20,1378533268.0,1385666656.0,1359000015.0,1368466663.0,38389500.0,0
2015-04-21,1372000027.0,1405000019.0,1362066746.0,1396066666.0,51487500.0,1
2015-04-22,1416666698.0,1479199982.0,1411266708.0,1462933254.0,117945000.0,1
2015-04-23,1455133343.0,1476533318.0,144766674.0,1457333279.0,66168000.0,0
2015-04-24,1469999981.0,1472000027.0,145340004.0,1456200027.0,36417000.0,0
2015-04-27,1483733273.0,1591666698.0,1480000019.0,1543666744.0,175089000.0,1
2015-04-28,1564999962.0,1569999981.0,1520199966.0,153653326.0,91281000.0,0
